playoff,year,tmID,lost,o_reb,home_win_pct,away_win_pct,conf_win_rate,scoring_efficiency,reb_efficiency,defensive_pts_efficiency,def_reb_efficiency,off_reb_efficiency,ast_to_ratio,steals_per_game,blocks_per_game,playoff_win_pct
N,8,HOU,21,1144,0.4117647058823529,0.3529411764705882,0.4545454545454545,1.1679851093531874,0.5323406235458352,77.29411764705883,0.4853881278538813,0.5323406235458352,0.8815165876777251,8.5,3.2058823529411766,0.0
N,9,HOU,17,1179,0.7647058823529411,0.2352941176470588,0.5,1.157252598282874,0.5327609579755987,76.6470588235294,0.4995425434583714,0.5327609579755987,0.9282136894824708,8.676470588235293,3.5294117647058822,0.5
N,1,IND,23,932,0.3125,0.25,0.3333333333333333,1.2040261153427638,0.5070729053318824,71.5625,0.5107066381156317,0.5070729053318824,0.9671814671814672,8.46875,3.9375,0.3333333333333333
N,2,IND,22,935,0.4375,0.1875,0.3333333333333333,1.181668496158068,0.513172338090011,70.28125,0.5086887835703001,0.513172338090011,0.9327902240325866,7.5625,3.6875,0.4
Y,3,IND,16,948,0.625,0.375,0.5714285714285714,1.149041095890411,0.5194520547945205,66.53125,0.5129334067143644,0.5194520547945205,1.0205479452054795,8.375,3.125,0.0
N,4,IND,18,988,0.6470588235294118,0.2941176470588235,0.5,1.1621084037792144,0.4912978617603182,68.26470588235294,0.5167714884696016,0.4912978617603182,1.1371308016877637,8.794117647058824,3.5588235294117645,0.875
N,5,IND,19,1101,0.5882352941176471,0.2941176470588235,0.4,1.092988562904028,0.5474888115365489,66.02941176470588,0.5195710455764075,0.5474888115365489,1.1419753086419753,7.676470588235294,3.941176470588236,0.0
Y,6,IND,13,1012,0.8235294117647058,0.4117647058823529,0.7,1.1082737487231868,0.5168539325842697,62.73529411764706,0.5506117908787542,0.5168539325842697,1.0335429769392033,9.882352941176473,2.794117647058824,0.4
Y,7,IND,13,1094,0.7058823529411765,0.5294117647058824,0.6,1.1357276119402986,0.5102611940298507,68.11764705882354,0.5193343122858541,0.5102611940298507,0.9488636363636364,10.411764705882351,2.735294117647059,0.0
Y,8,IND,13,1153,0.7058823529411765,0.5294117647058824,0.6,1.1444393170281495,0.5320719889247808,69.70588235294117,0.531021897810219,0.5320719889247808,0.8675721561969439,9.058823529411764,4.0,0.6666666666666666
Y,9,IND,17,1127,0.6470588235294118,0.3529411764705882,0.6,1.134924277191372,0.5172097292335934,72.26470588235294,0.5505406676069582,0.5172097292335934,0.8547008547008547,9.529411764705882,4.852941176470588,0.0
Y,10,IND,12,1122,0.8235294117647058,0.4705882352941176,0.7727272727272727,1.178119349005425,0.5072332730560579,73.55882352941177,0.5509915014164306,0.5072332730560579,0.992467043314501,10.970588235294118,3.4411764705882355,0.7
Y,1,LAS,4,1091,0.9375,0.8125,0.8095238095238095,1.235685071574642,0.5577709611451943,67.78125,0.4982170147733061,0.5577709611451943,1.257510729613734,8.46875,4.875,0.0
Y,2,LAS,4,1105,1.0,0.75,0.9047619047619048,1.2018709995076318,0.5440669620876416,67.6875,0.4639798488664987,0.5440669620876416,1.360730593607306,8.78125,4.3125,0.6
Y,3,LAS,7,1143,0.75,0.8125,0.8095238095238095,1.2247752247752248,0.570929070929071,69.84375,0.4700980392156862,0.570929070929071,1.127659574468085,8.03125,5.03125,0.3333333333333333
Y,4,LAS,10,1149,0.6470588235294118,0.7647058823529411,0.7083333333333334,1.1677570093457943,0.5369158878504673,71.52941176470588,0.5146716348393107,0.5369158878504673,1.248936170212766,7.117647058823529,4.735294117647059,0.3333333333333333
Y,5,LAS,9,1121,0.8823529411764706,0.5882352941176471,0.7272727272727273,1.2058965683905267,0.541807636539391,69.44117647058823,0.5088305489260143,0.541807636539391,1.183364839319471,7.705882352941177,4.352941176470588,0.5454545454545454
Y,6,LAS,17,1004,0.6470588235294118,0.3529411764705882,0.5454545454545454,1.139079333986288,0.4916748285994123,68.97058823529412,0.5324808184143223,0.4916748285994123,1.1199186991869918,7.764705882352941,4.0,0.3333333333333333
Y,7,LAS,9,1202,0.8823529411764706,0.5882352941176471,0.75,1.173120728929385,0.5476082004555809,72.82352941176471,0.4954212454212454,0.5476082004555809,1.142322097378277,8.705882352941176,3.794117647058824,0.5
N,8,LAS,24,1139,0.2941176470588235,0.2941176470588235,0.2727272727272727,1.0989154013015183,0.4941431670281995,79.6470588235294,0.533001808318264,0.4941431670281995,0.9702276707530648,7.205882352941177,3.147058823529412,0.0
Y,9,LAS,14,1282,0.7058823529411765,0.4705882352941176,0.6,1.155693950177936,0.5702846975088968,74.20588235294117,0.4878787878787878,0.5702846975088968,1.0082236842105263,7.382352941176471,6.352941176470588,0.7777777777777778
Y,10,LAS,16,1248,0.6470588235294118,0.4117647058823529,0.55,1.118816254416961,0.5512367491166078,73.47058823529412,0.4641909814323607,0.5512367491166078,1.033450704225352,6.382352941176471,4.882352941176471,0.3333333333333333
N,1,MIA,19,960,0.5625,0.25,0.4285714285714285,1.032130777903044,0.5411499436302142,62.53125,0.5507159904534606,0.5411499436302142,0.7919847328244275,8.5,2.75,0.4
Y,2,MIA,12,943,0.625,0.625,0.6666666666666666,1.0717415115005475,0.5164293537787513,59.3125,0.5611594202898551,0.5164293537787513,1.0424107142857142,9.375,4.78125,0.4444444444444444
N,3,MIA,17,869,0.5625,0.375,0.5238095238095238,1.1023706896551724,0.4682112068965517,65.25,0.5638792102206737,0.4682112068965517,1.0942528735632184,8.5625,3.0,0.3333333333333333
N,1,MIN,17,870,0.5,0.4375,0.238095238095238,1.1977061714909885,0.4751501911523758,68.375,0.555745164960182,0.4751501911523758,0.9959758551307848,7.40625,1.96875,0.5
N,2,MIN,20,1001,0.375,0.375,0.4285714285714285,1.1475138121546962,0.5530386740331492,67.375,0.527244421380384,0.5530386740331492,0.8619329388560157,6.5625,3.96875,0.3333333333333333
N,3,MIN,22,959,0.4375,0.1875,0.2857142857142857,1.1284507042253522,0.540281690140845,65.75,0.5058107360265633,0.540281690140845,0.8809073724007561,7.0625,3.1875,0.7777777777777778
Y,4,MIN,16,1079,0.6470588235294118,0.4117647058823529,0.5833333333333334,1.2032355915065722,0.5455005055611729,69.70588235294117,0.4784712143202709,0.5455005055611729,1.039426523297491,7.117647058823529,2.9705882352941178,0.3333333333333333
Y,5,MIN,16,1056,0.6470588235294118,0.4117647058823529,0.5454545454545454,1.1394736842105264,0.5557894736842105,64.41176470588235,0.5253549695740365,0.5557894736842105,0.8580750407830342,7.558823529411764,4.088235294117647,0.5
